municipality,country,nielsen
Aa en Hunze,Netherlands,Nielsen III
Aalsmeer,Netherlands,Nielsen II
Aalst,Belgium,Nielsen I
Aalst,Belgium,Nielsen II
Aalten,Netherlands,Nielsen IV
Aalter,Belgium,Nielsen I
Aarlen,Belgium,Nielsen V
Aarschot,Belgium,Nielsen II
Aartselaar,Belgium,Nielsen II
Aat,Belgium,Nielsen IV
Achtkarspelen,Netherlands,Nielsen III
Affligem,Belgium,Nielsen II
Aiseau-Presles,Belgium,Nielsen IV
Alblasserdam,Netherlands,Nielsen II
Albrandswaard,Netherlands,Nielsen I
Alken,Belgium,Nielsen II
Alkmaar,Netherlands,Nielsen II
Almelo,Netherlands,Nielsen IV
Almere,Netherlands,Nielsen IV
Alphen aan den Rijn,Netherlands,Nielsen II
Alphen-Chaam,Netherlands,Nielsen V
Altena,Netherlands,Nielsen V
Alveringem,Belgium,Nielsen I
Amay,Belgium,Nielsen V
Ameland,Netherlands,Nielsen III
Amel,Belgium,Nielsen V
Amersfoort,Netherlands,Nielsen II
Amstelveen,Netherlands,Nielsen I
Amsterdam,Netherlands,Nielsen I
Andenne,Belgium,Nielsen V
Anderlecht,Belgium,Nielsen III
Anderlues,Belgium,Nielsen IV
Anhée,Belgium,Nielsen V
Ans,Belgium,Nielsen V
Anthisnes,Belgium,Nielsen V
Antoing,Belgium,Nielsen IV
Antwerp,Belgium,Nielsen II
Antwerpen,Belgium,Nielsen II
Anvers,Belgium,Nielsen II
Anzegem,Belgium,Nielsen I
Apeldoorn,Netherlands,Nielsen IV
Appingedam,Netherlands,Nielsen III
Ardooie,Belgium,Nielsen I
Arendonk,Belgium,Nielsen II
Arlon,Belgium,Nielsen V
Arnhem,Netherlands,Nielsen IV
As,Belgium,Nielsen II
Asse,Belgium,Nielsen II
Assenede,Belgium,Nielsen I
Assen,Netherlands,Nielsen III
Assesse,Belgium,Nielsen V
Asten,Netherlands,Nielsen V
Ath,Belgium,Nielsen IV
Attert,Belgium,Nielsen V
Aubange,Belgium,Nielsen V
Aubel,Belgium,Nielsen V
Avelgem,Belgium,Nielsen I
Awans,Belgium,Nielsen V
Aywaille,Belgium,Nielsen V
Baarle-Hertog,Belgium,Nielsen II
Baarle-Nassau,Netherlands,Nielsen V
Baarn,Netherlands,Nielsen II
Baelen,Belgium,Nielsen V
Balen,Belgium,Nielsen II
Barendrecht,Netherlands,Nielsen I
Barneveld,Netherlands,Nielsen IV
Bassenge,Belgium,Nielsen V
Bastenaken,Belgium,Nielsen V
Bastogne,Belgium,Nielsen V
Beaumont,Belgium,Nielsen IV
Beauraing,Belgium,Nielsen V
Beauvechain,Belgium,Nielsen IV
Bedum,Netherlands,Nielsen III
Beekdaelen,Netherlands,Nielsen V
Beek,Netherlands,Nielsen V
Beemster,Netherlands,Nielsen II
Beernem,Belgium,Nielsen I
Beerse,Belgium,Nielsen II
Beersel,Belgium,Nielsen II
Beesel,Netherlands,Nielsen V
Begijnendijk,Belgium,Nielsen II
Bekkevoort,Belgium,Nielsen II
Belœil,Belgium,Nielsen IV
Bergeijk,Netherlands,Nielsen V
Bergen,Belgium,Nielsen IV
Berg en Dal,Netherlands,Nielsen IV
Bergen,Netherlands,Nielsen II
Bergen,Netherlands,Nielsen V
Bergen op Zoom,Netherlands,Nielsen V
Beringen,Belgium,Nielsen II
Berkelland,Netherlands,Nielsen IV
Berlaar,Belgium,Nielsen II
Berlare,Belgium,Nielsen I
Berloz,Belgium,Nielsen V
Bernheze,Netherlands,Nielsen V
Bernissart,Belgium,Nielsen IV
Bertem,Belgium,Nielsen II
Bertogne,Belgium,Nielsen V
Bertrix,Belgium,Nielsen V
Best,Netherlands,Nielsen V
Beuningen,Netherlands,Nielsen IV
Bevekom,Belgium,Nielsen IV
Bever,Belgium,Nielsen II
Beveren,Belgium,Nielsen I
Beverwijk,Netherlands,Nielsen II
Beyne-Heusay,Belgium,Nielsen V
Bierbeek,Belgium,Nielsen II
Bièvre,Belgium,Nielsen V
Bilzen,Belgium,Nielsen II
Binche,Belgium,Nielsen IV
Bitsingen,Belgium,Nielsen V
Bladel,Netherlands,Nielsen V
Blankenberge,Belgium,Nielsen I
Blaricum,Netherlands,Nielsen II
Blegny,Belgium,Nielsen V
Blieberg,Belgium,Nielsen V
Bloemendaal,Netherlands,Nielsen II
Bocholt,Belgium,Nielsen II
Bodegraven,Netherlands,Nielsen II
Bodegraven-Reeuwijk,Netherlands,Nielsen II
Boechout,Belgium,Nielsen II
Boekel,Netherlands,Nielsen V
Bolsward,Netherlands,Nielsen III
Bonheiden,Belgium,Nielsen II
Boom,Belgium,Nielsen II
Boortmeerbeek,Belgium,Nielsen II
Borger-Odoorn,Netherlands,Nielsen III
Borgloon,Belgium,Nielsen II
Borgworm,Belgium,Nielsen V
Bornem,Belgium,Nielsen II
Borne,Netherlands,Nielsen IV
Borsbeek,Belgium,Nielsen II
Borsele,Netherlands,Nielsen V
Boskoop,Netherlands,Nielsen II
Bouillon,Belgium,Nielsen V
Boussu,Belgium,Nielsen IV
Boutersem,Belgium,Nielsen II
Boxmeer,Netherlands,Nielsen V
Boxtel,Netherlands,Nielsen V
Braine-l'Alleud,Belgium,Nielsen IV
Braine-le-Château,Belgium,Nielsen IV
Braine-le-Comte,Belgium,Nielsen IV
Braives,Belgium,Nielsen V
Brakel,Belgium,Nielsen I
Brasschaat,Belgium,Nielsen II
Brecht,Belgium,Nielsen II
Breda,Netherlands,Nielsen V
Bredene,Belgium,Nielsen I
Bree,Belgium,Nielsen II
Brielle,Netherlands,Nielsen II
Bronckhorst,Netherlands,Nielsen IV
Brugelette,Belgium,Nielsen IV
Bruges,Belgium,Nielsen I
Brugge,Belgium,Nielsen I
Brummen,Netherlands,Nielsen IV
Brunehaut,Belgium,Nielsen IV
Brunssum,Netherlands,Nielsen V
Brussel,Belgium,Nielsen III
Brussels,Belgium,Nielsen III
Bruxelles,Belgium,Nielsen III
Bruyère,Belgium,Nielsen V
Buggenhout,Belgium,Nielsen I
Büllingen,Belgium,Nielsen V
Bunnik,Netherlands,Nielsen II
Bunschoten,Netherlands,Nielsen II
Burdinne,Belgium,Nielsen V
Buren,Netherlands,Nielsen IV
Burg-Reuland,Belgium,Nielsen V
Bussum,Netherlands,Nielsen II
Bütgenbach,Belgium,Nielsen V
Capelle aan den IJssel,Netherlands,Nielsen I
Castricum,Netherlands,Nielsen II
Celles,Belgium,Nielsen IV
Cerfontaine,Belgium,Nielsen V
Chapelle-lez-Herlaimont,Belgium,Nielsen IV
Charleroi,Belgium,Nielsen IV
